,route_name,route_url,bus_name,departure,arrival,depart_time,arrival_time,duration,bus_type,star_rating,price,seats_available
287,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,Laxmi holidays,,,20:00,07:00,11h 00m,"Laxmi holidays
Volvo 9600 A/C Semi Sleeper (2+2)",,854,7 Seats available
288,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,IntrCity SmartBus,,,19:30,07:00,11h 30m,"IntrCity SmartBus
Volvo A/C Semi Sleeper (2+2)",,,5 Seats available
289,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,Laxmi holidays,,,22:00,07:45,09h 45m,"Laxmi holidays
Volvo 9600 A/C Semi Sleeper (2+2)",,759,7 Seats available
290,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,,,,,,,,,,
291,Manali To Delhi Bus,https://www.redbus.in/bus-tickets/manali-to-delhi,,,,,,,,,,
292,Hamirpur (Himachal Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Ram Dalal Holidays,,,21:40,06:00,08h 20m,"Ram Dalal Holidays
Volvo A/C Semi Sleeper (2+2)",,719,16 Seats available
293,Hamirpur (Himachal Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi,Laxmi holidays,,,20:20,05:30,09h 10m,"Laxmi holidays
Volvo A/C Semi Sleeper (2+2)",,523,19 Seats available
294,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 139847,Tezpur,ASTC Paltan Bazar,16:15,20:30,04h 15m,"Assam State Transport Corporation (ASTC) - 139847
Volvo AC Seater 2+2",,,
295,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Porua Chariali,Khanapara,16:00,19:15,03h 15m,"Chartered Bus - ASTC
Volvo AC Seater Pushback 2+2",,,
296,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,,,21:30,03:30,06h 00m,"BLUE HILL TRAVELS INDIA LIMITED
NON A/C Seater Semi Sleeper (2+1)",,,9 Seats available
297,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,,,18:30,03:45,09h 15m,"DESTINY TRAVELS
NON A/C Seater (2+1)",,380,21 Seats available
298,Tezpur To Guwahati Bus,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,,,23:40,04:00,04h 20m,"Himalayan Travels
NON A/C Seater (2+2)",,450,19 Seats available
299,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Khanapara,ASTC Bus Stand Tezpur,16:15,19:40,03h 25m,"WARISPIYA TRAVELS
Bharat Benz A/C Seater (2+2)",,,
300,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,ISBT Guwahati,Dolabari By Pass,18:00,23:30,05h 30m,"Yatra Travels
NON A/C Seater (2+1)",,400,
301,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,,,20:00,00:00,04h 00m,"Yatra Travels
NON AC Seater/ Sleeper (2+1)",,400,5 Seats available
302,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),,,20:15,01:15,05h 00m,"Pranjit Travels (Under ASTC)
NON A/C Seater (2+1)",,,24 Seats available
303,Guwahati To Tezpur Bus,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),,,20:45,02:30,05h 45m,"Pranjit Travels (Under ASTC)
A/C Seater / Sleeper (2+1)",,,25 Seats available
304,Nagaon (Assam) To Guwahati Bus,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Nagaon(Bypass),Khanapara,17:00,19:15,02h 15m,"Chartered Bus - ASTC
Volvo AC Seater Pushback 2+2",,,
305,Guwahati To Nagaon (Assam) Bus,https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,,,18:45,21:50,27h 05m,"DESTINY TRAVELS
NON A/C Seater (2+1)",,419,22 Seats available
306,Dhubri To Guwahati Bus,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,,,20:15,03:30,07h 15m,"Yatra
Non AC Seater (2+2)",,,38 Seats available
307,North Lakhimpur To Jorhat Bus,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,Priyanka,,,17:30,05:05,11h 35m,"Priyanka
NON A/C Seater (2+1)",,,8 Seats available
308,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,,,23:45,05:00,05h 15m,"New Khaira Transport
A/C Seater / Sleeper (2+1)",,,2 Seats available
309,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Rahul Travels,,,23:10,05:10,06h 00m,"Rahul Travels
AshokLeyland Stile A/C",,,4 Seats available
310,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,Bareilly Satellite,Dhaula Kuan,17:00,23:20,06h 20m,"Vijay Tour and Travels
A/C Seater / Sleeper (2+1)",,600,
311,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,,,19:00,01:10,06h 10m,"Vijay Tour and Travels
A/C Seater / Sleeper (2+1)",,554,6 Seats available
312,Bareilly (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/bareilly-to-delhi,,,,,,,,,,
313,Aligarh To Delhi Bus,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0092,ALIGARH SATELITE,NOIDA BUS STATION,17:59,21:18,03h 19m,"UPSRTC - BDV0092
Ordinary Non AC Seater 2+3",,,
314,Aligarh To Delhi Bus,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0096,ALIGARH SATELITE,NOIDA BUS STATION,18:29,21:49,03h 20m,"UPSRTC - BDV0096
Ordinary Non AC Seater 2+3",,,
315,Aligarh To Delhi Bus,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0108,ALIGARH SATELITE,NOIDA BUS STATION,20:28,23:49,03h 21m,"UPSRTC - BDV0108
Ordinary Non AC Seater 2+3",,,
316,Aligarh To Delhi Bus,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0100,ALIGARH SATELITE,NOIDA BUS STATION,20:30,23:50,03h 20m,"UPSRTC - BDV0100
Ordinary Non AC Seater 2+3",,,
317,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Rahul Travels,,,21:00,02:30,05h 30m,"Rahul Travels
AshokLeyland Stile A/C",,,16 Seats available
318,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Rahul Travels,,,21:30,03:30,06h 00m,"Rahul Travels
AshokLeyland Stile A/C",,,18 Seats available
319,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,R S YADAV SMART BUS PRIVATE LIMITED,,,22:15,04:15,06h 00m,"R S YADAV SMART BUS PRIVATE LIMITED
VE A/C Sleeper (2+1)",,,25 Seats available
320,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,SHRI RAM TRAVELS,,,23:59,05:15,05h 16m,"SHRI RAM TRAVELS
A/C Seater (2+2)",,,18 Seats available
321,Delhi To Bareilly (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-bareilly,,,,,,,,,,
322,Delhi To Aligarh (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,,,22:00,01:30,03h 30m,"Chaturvedi Bus Service
NON A/C Seater/ Sleeper (2+1)",,,51 Seats available
323,Delhi To Aligarh (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,,,21:00,00:30,03h 30m,"Chaturvedi Bus Service
NON AC Seater / Sleeper 2+1",,,45 Seats available
324,Delhi To Aligarh (Uttar Pradesh) Bus,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Chaturvedi Bus Service,,,20:40,02:30,05h 50m,"Chaturvedi Bus Service
A/C Seater / Sleeper (2+1)",,,46 Seats available
325,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,KVS Holidays,,,20:30,05:30,09h 00m,"KVS Holidays
Non A/C Seater / Sleeper (2+1)",,,30 Seats available
326,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Chaturvedi Bus Service,,,20:00,05:15,09h 15m,"Chaturvedi Bus Service
NON A/C Seater/ Sleeper (2+1)",,,51 Seats available
327,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Chaturvedi Bus Service,,,19:30,05:00,09h 30m,"Chaturvedi Bus Service
A/C Seater / Sleeper (2+1)",,,35 Seats available
328,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Abhay Travels (I.R.T.C),,,18:00,06:00,12h 00m,"Abhay Travels (I.R.T.C)
Non A/C Seater / Sleeper (2+1)",,,26 Seats available
329,Farrukhabad (Uttar Pradesh) To Delhi Bus,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,,,,,,,,,,
330,Badaun To Delhi Bus,https://www.redbus.in/bus-tickets/badaun-to-delhi,UPSRTC - BDN0022,,,20:00,02:00,06h 00m,"UPSRTC - BDN0022
Ordinary Non AC Seater 2+3",,,52 Seats available
331,Badaun To Delhi Bus,https://www.redbus.in/bus-tickets/badaun-to-delhi,UPSRTC - KSB0004,,,23:00,05:00,06h 00m,"UPSRTC - KSB0004
Shatabdi AC Seater 2+2",,,8 Seats available
332,Lucknow To Allahabad Bus,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Sethi Yatra Company,,,22:30,03:00,04h 30m,"Sethi Yatra Company
A/C Seater/Sleeper (2+1)",,,21 Seats available
333,Lucknow To Allahabad Bus,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Mahalaxmi Travels,,,23:15,03:45,04h 30m,"Mahalaxmi Travels
Bharat Benz A/C Seater /Sleeper (2+1)",,,29 Seats available
334,Lucknow To Allahabad Bus,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Goyal Travels,,,23:49,03:55,04h 06m,"Goyal Travels
A/C Seater / Sleeper (2+1)",,,13 Seats available
335,Lucknow To Varanasi Bus,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Sethi Yatra Company,,,22:30,05:55,07h 25m,"Sethi Yatra Company
A/C Seater/Sleeper (2+1)",,,21 Seats available
336,Lucknow To Varanasi Bus,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Mahalaxmi Travels,,,23:15,05:45,06h 30m,"Mahalaxmi Travels
Bharat Benz A/C Seater /Sleeper (2+1)",,,24 Seats available
337,Lucknow To Varanasi Bus,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,Yolo Bus,,,22:19,05:43,07h 24m,"Yolo Bus
A/C Sleeper (2+1)",,,19 Seats available
338,Lucknow To Varanasi Bus,https://www.redbus.in/bus-tickets/lucknow-to-varanasi,,,,,,,,,,
339,Delhi To Badaun Bus,https://www.redbus.in/bus-tickets/delhi-to-badaun,UPSRTC - BDN0044,,,19:00,01:30,06h 30m,"UPSRTC - BDN0044
Ordinary Non AC Seater 2+3",,,52 Seats available
340,Delhi To Badaun Bus,https://www.redbus.in/bus-tickets/delhi-to-badaun,UPSRTC - BDN0046,,,21:00,03:30,06h 30m,"UPSRTC - BDN0046
Ordinary Non AC Seater 2+3",,,52 Seats available
341,Delhi To Badaun Bus,https://www.redbus.in/bus-tickets/delhi-to-badaun,UPSRTC - KSB0005,,,23:00,05:00,06h 00m,"UPSRTC - KSB0005
Shatabdi AC Seater 2+2",,,23 Seats available
342,Agra To Bareilly Bus,https://www.redbus.in/bus-tickets/agra-to-bareilly,UPSRTC - BLY0134,,,23:05,05:00,05h 55m,"UPSRTC - BLY0134
Janrath AC Seater 2+2",,,27 Seats available
